======================================================================
  VCP 扫描器 v3 | 2026-09-04 23:12
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 19.0%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 87 只 VCP 形态标的：

 VCP分   代码   当前价格  RS评级            收缩%  5日振幅%  缩量比例%  突破挂单价  距突破%  距52周高%  10EMA  21EMA   吊灯止损   硬止损价
    3 UBSI  47.83    31    4.7/4.1/3.9   3.69  68.38  48.03  0.42    3.61  47.54  47.71  49.17  44.00
    3 ZBRA 362.74    21   11.2/9.6/9.3   6.73  54.38 365.00  0.62    6.08 357.20 351.59 381.20 333.72
    3  TGT 164.44    83   12.7/8.2/6.2   3.41  65.26 165.65  0.74    3.70 162.83 158.99 167.88 151.28
    3  OSK 157.08    16   13.8/8.3/7.8   8.29  42.96 159.00  1.22   12.97 154.42 153.45 158.07 144.51
    3  WEX 193.91    17  29.2/17.1/5.5   5.90  43.57 197.09  1.64    4.94 194.25 191.80 201.48 178.40
    3  ADM  84.61    48  16.1/14.3/9.5   9.04  64.63  86.11  1.77    4.35  82.77  81.78  84.94  77.84
    3 AMGN 437.23    68    6.8/5.7/4.7   4.65  66.20 445.82  1.96    2.19 436.87 427.47 441.81 402.25
    3  CVX 208.60    51   14.5/5.9/5.3   4.59  65.83 213.20  2.21    2.85 206.67 202.64 210.09 191.91
    3 BIIB 220.83    72   15.3/8.0/4.2   5.72  41.89 225.80  2.25    2.20 219.48 216.10 222.98 203.16
    3 AMZN 258.51    14  17.9/12.4/5.8   4.93  64.34 264.36  2.26    9.99 259.14 259.54 276.93 237.83
    3  ECL 279.28     3    7.1/7.0/5.2   4.02  74.83 286.31  2.52    9.70 281.89 281.66 292.83 256.94
    3 VRTX 546.12    53   12.0/5.7/4.2   5.26  54.09 560.25  2.59    2.52 546.77 535.06 551.23 502.43
    3 CPAY 416.37    45   11.8/6.6/4.5   6.38  53.45 427.46  2.66    2.59 411.80 406.45 422.91 383.06
