======================================================================
  VCP 扫描器 v3 | 2026-08-07 01:08
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 21.6%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 134 只 VCP 形态标的：

 VCP分   代码   当前价格  RS评级            收缩%  5日振幅%  缩量比例%  突破挂单价  距突破%  距52周高%  10EMA  21EMA   吊灯止损   硬止损价
    3  CHD 103.36     9    6.4/6.2/5.9   9.94  60.09 104.31  0.92    2.53 100.73  99.33 103.17  95.09
    3  AMP 559.82    13    9.3/7.0/5.2   3.98  36.35 565.05  0.93    0.93 547.50 532.36 556.38 515.03
    3 SCHW 107.66    12   10.1/7.6/4.4   4.81  34.25 109.05  1.29    1.27 105.52 103.21 107.96  99.05
    3 BURL 371.15    43  16.4/12.7/6.7   3.07  36.54 376.45  1.43    1.90 365.08 355.49 370.34 341.46
    3  BAC  63.00    57   18.9/9.0/4.0   3.95  52.23  63.97  1.54    1.52  62.32  61.32  63.33  57.96
    3  TFC  52.59    24    8.2/6.8/3.6   4.37  51.22  53.46  1.65    6.42  52.30  51.90  53.67  48.38
    3 PFGC 114.58    17    5.7/5.7/5.2   4.61  70.63 116.49  1.67    2.46 113.50 112.45 116.43 105.41
    3  MTB 250.14    48    7.6/4.7/4.2   3.69  62.03 254.69  1.82    1.91 249.74 246.94 252.39 230.13
    3  USB  63.81    63    8.3/4.3/3.6   3.97  43.76  65.02  1.90    1.86  63.69  63.06  64.52  58.71
    3  ITW 294.70    16    6.8/5.1/4.4   6.62  38.70 300.53  1.98    2.79 289.49 283.15 297.56 271.12
    3  SNA 414.68    34    8.6/6.5/3.6   4.21  51.53 423.02  2.01    1.97 412.68 408.68 419.54 381.51
    3  PNC 252.76    46    7.2/3.5/2.7   4.01  49.52 258.13  2.12    2.08 252.03 250.30 256.68 232.54
    3 UBSI  48.58    52    4.9/4.7/4.1   3.27  67.15  49.62  2.14    2.10  48.53  47.83  49.10  44.69
    3  PAG 216.40    26   11.7/7.5/6.5   2.99  66.43 221.43  2.32    4.67 215.64 208.74 221.80 199.09
    3  MRK 128.37    76    9.6/7.8/6.5   4.16  66.52 131.47  2.41    4.95 128.69 127.69 133.36 118.10
    3 HOMB  30.83    11    6.4/4.7/4.5   2.81  43.87  31.66  2.69    2.74  31.01  30.49  31.29  28.36
    3  IEX 233.71    66    9.1/6.4/5.7   5.14  45.44 240.05  2.71    4.14 231.58 228.22 240.59 215.01
    3  PSX 205.52    81   12.7/7.1/6.4   6.83  59.95 213.99  4.12    4.89 205.85 201.83 212.16 189.08
    3 MIDD 133.28    53  16.6/12.6/7.7   5.84  65.16 138.93  4.24   10.28 134.67 134.32 137.70 122.62
    3  BMY  64.15    58   10.0/7.6/3.6   7.75  70.56  68.10  6.16    5.80  63.79  62.16  66.81  59.02
    3  CUZ  29.83     8    7.3/4.4/4.0   8.53  56.31  32.33  8.38    9.47  31.10  31.03  32.59  27.44
    2 SLAB 218.47    82    1.2/2.0/1.6   1.34  39.64 219.74  0.58    1.10 217.82 217.78 219.32 200.99
    2  APD 299.92     3    4.6/7.8/7.4   4.77  49.25 301.75  0.61    4.75 296.05 295.37 308.46 275.93
    2  RTX 223.25    60    5.0/6.8/5.6   6.42  64.49 225.65  1.08    1.06 215.91 208.84 221.60 205.39
    2 CINF 179.04    18   8.2/11.7/7.2   4.70  55.87 181.00  1.09    8.10 179.07 179.15 186.68 164.72
    2  TPR 162.00    67   7.6/13.9/6.3   8.22  57.83 163.94  1.20    1.18 153.77 149.59 160.65 149.04
    2   CL  93.00     8    6.7/7.0/6.6   5.59  58.53  94.15  1.24    6.37  92.17  91.96  95.16  85.56
    2  RGA 236.31    35    3.7/5.3/4.4   3.09  73.93 239.58  1.38    3.55 236.80 234.22 243.01 217.41
    2  CCK 121.10    20    8.0/8.2/6.0   5.86  42.07 122.80  1.40    1.38 119.58 116.84 121.14 111.41
    2    L 115.98    28    2.5/6.4/5.8   3.21  48.21 117.66  1.45    4.16 116.29 115.62 119.93 106.70
    2  HRL  25.09     0   -0.2/9.9/5.6   2.54  34.80  25.47  1.51   14.51  25.27  25.17  26.17  23.08
    2  RNR 323.49    46   8.9/10.1/9.6   4.30  50.01 328.56  1.57    3.71 323.12 321.04 331.65 297.61
    2   DE 614.84    22    7.9/9.8/8.4   5.77  47.64 624.73  1.61    8.80 610.41 607.10 636.31 565.65
    2  JCI 154.55    67    7.5/9.9/6.9   9.29  55.86 157.06  1.62    1.60 148.26 145.66 154.69 142.19
    2 VRTX 484.03    33   6.7/12.0/5.7   5.71  61.48 492.10  1.67    9.30 480.96 480.95 518.90 445.31
    2  JPM 356.30    27    4.8/5.4/2.1   3.80  59.06 363.00  1.88    1.85 353.33 347.91 358.77 327.80
    2  WAB 295.23    73   5.1/11.0/6.2   3.85  44.79 301.18  2.02    3.72 293.11 285.81 300.86 271.61
    2  TGT 147.08    56   7.9/12.7/8.2   6.39  42.98 150.07  2.03    1.99 144.98 141.49 147.60 135.31
    2  ASH  72.46    52    6.9/9.0/7.2   4.17  64.86  73.93  2.03    3.37  71.03  69.32  73.61  66.66
    2 EWBC 131.88    47    5.0/8.0/5.3   3.44  46.78 134.67  2.12    3.20 131.99 131.53 135.20 121.33
    2  FAF  75.15    19    4.5/7.3/4.6   3.63  62.15  76.77  2.16    5.91  75.03  73.59  78.59  69.14
    2   PB  74.08    14    3.6/6.2/4.8   3.08  65.26  75.87  2.42    4.04  74.23  73.61  75.19  68.15
    2 GRMN 301.87    39    4.7/8.7/7.0   7.60  54.91 309.92  2.67    2.60 287.50 271.15 301.49 277.72
    2  ASB  31.16    38    5.8/6.7/6.0   4.58  55.36  32.00  2.70    2.63  31.15  30.90  31.70  28.67
    2  FNB  18.97    33    4.3/6.6/5.5   3.56  38.38  19.50  2.79    3.16  19.08  19.00  19.44  17.45
    2  CFG  72.43    72    5.9/6.8/6.2   4.63  64.02  74.54  2.91    3.04  72.47  71.75  73.93  66.64
    2 SBUX 105.16    17    3.5/6.7/6.1   6.44  69.46 108.36  3.04    3.73 104.81 104.48 108.39  96.75
    2  TOL 151.33    20   5.6/12.7/7.8   7.08  62.63 155.97  3.07   10.12 151.31 151.02 156.10 139.22
    2  CLH 307.64    31    4.6/6.3/5.0   4.71  63.86 317.74  3.28    8.42 309.87 307.29 331.33 283.03
    2  VLO 302.99    93  11.6/11.9/8.1   6.08  71.30 315.00  3.96    5.39 304.98 298.75 314.65 278.75
    2 AMZN 272.26    23  8.4/17.9/12.4   9.61  51.76 287.20  5.49    5.20 260.87 253.31 280.26 250.48
    2 CASY 832.42    76  5.8/18.0/17.8   8.44  60.48 879.66  5.68   10.29 852.85 848.35 876.29 765.83
    2    M  25.13    90  10.8/14.5/8.9   8.66  49.33  26.59  5.81    5.49  25.08  24.56  26.10  23.12
    1  DRI 210.94     1   6.4/8.9/12.9   4.42  59.70 210.99  0.02    4.40 205.84 203.99 210.49 194.06
    1   GL 186.02    41   6.0/4.1/12.2   3.17  67.32 186.07  0.03    2.89 182.50 180.40 188.89 171.14
    1  TJX 162.06    25    4.8/3.8/4.7   4.39  57.72 162.12  0.03    4.67 158.56 157.31 161.36 149.10
    1  CHE 549.41    30    6.4/6.8/8.7   5.26  53.74 549.95  0.10    0.41 533.20 516.27 542.67 505.46
    1  DGX 238.50    51   10.6/7.1/8.3   3.95  65.41 238.84  0.14    0.68 231.69 224.51 235.68 219.42
    1  TRV 386.00    63    7.3/6.9/7.3   4.44  46.88 386.58  0.15    3.19 378.72 368.03 390.37 355.12
    1   LH 316.53    23  11.1/8.0/10.0   5.50  45.11 317.10  0.18    0.18 307.60 297.93 310.85 291.21
    1   GD 386.92    26    7.1/5.1/6.5   3.36  36.89 389.50  0.67    3.27 383.30 378.20 395.60 355.97
    1  NSC 342.46    24    7.6/5.9/8.3   4.00  39.00 344.93  0.72    4.50 339.05 334.91 353.78 315.06
    1  BNY 158.82    72    4.3/4.5/7.4   3.82  44.67 160.01  0.75    3.02 157.22 155.62 162.02 146.11
    1  UNP 295.38    41    7.5/6.9/9.9   3.56  38.79 298.15  0.94    6.52 294.50 291.69 311.92 271.75
    1  PSA 327.00    16    6.2/6.5/8.3   5.34  46.24 330.28  1.00    2.55 324.63 322.59 332.37 300.84
    1  PFG 115.41    69    4.0/6.9/7.5   3.96  73.56 116.61  1.04    1.03 113.87 112.60 115.44 106.18
    1  TDY 687.52    29    5.8/5.6/9.6   7.25  46.23 694.76  1.05    1.04 666.34 654.46 685.13 632.52
    1 ROST 254.31    82   9.9/6.5/15.2   2.66  49.28 257.00  1.06    1.05 248.90 241.79 252.03 233.97
    1  AIT 358.91    49   6.7/5.9/10.3   7.54  36.93 362.93  1.12    1.11 349.87 343.24 356.92 330.20
    1 SIGI  96.78    29    7.4/7.3/7.9   3.96  47.96  97.89  1.15    3.61  96.04  95.78  98.34  89.04
    1  AFL 126.66    27    7.7/3.7/4.6   3.23  58.69 128.30  1.29    2.73 126.16 124.79 129.12 116.53
    1 CUBE  41.85     4    6.4/5.0/6.4   4.43  70.23  42.41  1.34    3.26  41.77  41.50  42.86  38.50
    1 WELL 236.00    56   4.5/4.5/11.3   5.62  60.16 239.20  1.36    7.52 237.46 236.75 251.94 217.12
    1   ES  72.06     7    5.8/4.6/7.7   3.46  62.99  73.16  1.53    5.89  73.03  73.25  75.90  66.30
    1   RS 418.13    64  19.6/7.7/12.4   8.90  46.71 424.77  1.59    1.56 409.39 402.03 419.14 384.68
    1  NOV  19.90    79   8.6/7.5/16.5   6.76  51.01  20.22  1.61    7.66  19.69  19.61  20.88  18.31
    1  EXR 149.54     6    5.9/4.9/5.6   4.41  45.60 152.14  1.74    5.88 149.20 148.30 157.00 137.58
