======================================================================
  VCP 扫描器 v3 | 2026-08-17 21:52
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 20.1%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 170 只 VCP 形态标的：

 VCP分    代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    2  PNFP  107.35    14    5.6/9.1/6.2   3.78  46.24  108.40  0.98    2.70  106.44  104.93  108.52   98.76
    2   WTS  385.18    51    6.1/8.3/6.0   2.82  27.76  389.28  1.06    2.37  377.94  367.93  386.81  354.37
    2   APH  170.87    66   7.4/14.2/6.3   4.58  66.00  172.82  1.14    4.29  167.12  164.09  172.16  157.20
    2   AMG  371.40    77   8.2/14.3/8.8   4.95  60.27  375.99  1.24    5.48  368.56  365.90  385.56  341.69
    2   ASB   32.06    30    5.8/6.7/6.0   3.51  51.66   32.46  1.25    1.23   31.79   31.41   32.17   29.50
    2   SSB  110.82    14    4.7/5.2/4.1   3.62  50.10  112.20  1.25    1.23  109.58  107.42  110.82  101.95
    2  CBSH   59.71     1    3.8/4.9/4.2   3.08  65.95   60.49  1.31    1.99   59.59   59.23   60.57   54.93
    2   CFG   74.31    66    5.9/6.8/6.2   4.06  54.24   75.33  1.37    1.35   73.55   72.73   74.73   68.37
    2  SEIC  105.47    20    4.4/7.7/6.5   2.86  68.46  106.93  1.38    1.43  104.95  102.83  105.68   97.03
    2  EWBC  135.52    39    5.0/8.0/5.3   4.83  74.96  137.47  1.44    1.42  134.17  133.01  136.51  124.68
    2   JPM  360.96    24    4.8/5.4/2.1   2.20  35.89  366.50  1.53    1.51  359.87  354.69  362.93  332.08
    2   PSA  324.31    15    6.5/8.3/3.3   2.50  57.26  329.49  1.60    3.35  325.47  324.18  332.37  298.37
    2   KEY   23.04    29    4.7/8.1/3.9   3.83  60.35   23.45  1.80    4.28   22.94   22.90   23.85   21.20
    2   THG  222.10    35    7.5/9.7/7.1   3.18  57.57  226.22  1.86    5.92  224.58  222.92  232.87  204.33
    2   DGX  235.52    36    7.1/8.3/3.3   3.32  44.57  240.00  1.90    1.92  235.16  230.36  236.04  216.68
    2   XPO  210.99    73 14.0/15.6/12.0   8.32  39.20  215.00  1.90    9.08  206.82  206.21  217.48  194.11
    2   JBL  369.89    77 11.2/27.7/12.1   8.72  35.94  376.97  1.91   13.76  352.77  342.18  366.61  340.30
    2  CUBE   41.14     4    5.0/6.4/4.5   3.32  48.21   42.03  2.16    4.90   41.43   41.41   42.95   37.85
    2    PK   15.00    47    7.3/8.2/7.8   7.32  53.72   15.32  2.17    3.10   14.91   14.82   15.34   13.80
    2   TEX   67.34    42 18.3/15.9/15.5   4.29  49.40   68.85  2.24    9.84   66.92   66.59   70.24   61.95
    2  WTFC  160.96    26    3.5/6.9/4.1   3.67  67.15  164.57  2.24    3.74  161.29  160.86  164.86  148.08
    2   WST  346.61    54   5.0/15.7/4.2   3.23  25.89  354.57  2.30   10.20  348.66  348.22  379.10  318.88
    2   PFG  112.97    59    6.9/7.5/4.8   4.32  65.22  115.80  2.51    3.12  113.74  113.14  115.44  103.93
    2   GEF   87.36    34    4.7/8.2/5.3   4.62  61.42   89.72  2.70    3.54   87.29   84.66   88.73   80.37
    2  AVNT   45.39    29   8.8/11.1/6.9   4.81  56.13   46.64  2.75    2.68   43.88   41.49   45.38   41.76
    2  SAIC  124.34     5  11.5/20.3/7.2   4.39  47.16  128.00  2.94    2.86  123.92  120.90  126.06  114.39
    2    GL  179.41    37   4.1/12.2/5.7   3.87  42.64  184.70  2.95    6.34  181.04  180.59  188.89  165.06
    2  BIIB  209.15    67   5.0/15.3/8.0   7.27  50.09  215.61  3.09    4.81  207.80  206.23  216.13  192.42
    2  COKE  186.21    71 11.0/16.4/11.9   8.19  74.79  192.17  3.20   15.22  187.18  186.20  197.11  171.31
    2   ASH   74.17    50    6.9/9.0/7.2   5.01  32.41   76.55  3.21    5.21   73.52   71.83   76.82   68.24
    2  VRTX  515.55    38   6.7/12.0/5.7   5.96  66.38  532.23  3.24    5.61  507.37  498.10  536.95  474.31
    2  MPWR 1415.99    74  12.5/12.7/7.5   8.11  44.70 1464.99  3.46   17.39 1386.55 1375.38 1529.89 1302.71
    2   APD  300.86     3    4.6/7.8/7.4   4.01  49.54  311.51  3.54    4.45  303.09  300.35  308.84  276.79
    2   FCX   68.38    73  11.0/11.1/7.9   8.02  68.12   70.83  3.58    5.40   67.43   65.98   69.49   62.91
    2    OC  153.81     2   7.6/14.9/8.6   5.58  48.31  159.88  3.95    3.81  152.80  148.89  156.98  141.51
    2  CPAY  407.62    31   7.5/11.8/6.6   7.19  35.63  425.95  4.50    4.30  405.04  392.89  417.26  375.01
    2   MLI   66.63    58   8.0/23.2/7.8   6.71  39.56   69.95  4.98    6.31   67.11   66.05   69.60   61.30
    2   CCK  116.24    17    8.0/8.2/6.0   5.08  47.15  122.06  5.01    5.43  119.00  117.93  121.83  106.94
    2   IFF   81.83    27  7.9/11.2/10.0   5.41  44.77   86.18  5.32    8.39   83.23   81.77   87.36   75.28
    2  AMCR   45.53     5    5.3/8.7/6.9   7.12  59.62   48.00  5.42   10.62   46.32   45.72   47.31   41.89
    2   BAX   25.91     7   9.0/10.1/9.7   8.33  67.37   28.02  8.14   13.63   26.67   25.75   29.02   23.84
    1    PR   22.18    75  12.2/7.7/10.6   6.25  51.27   22.18  0.00    2.18   21.22   20.81   21.89   20.41
    1   EOG  146.15    25   9.7/5.9/10.2   4.09  43.97  146.22  0.05    3.77  142.40  141.43  146.96  134.46
    1   AHR   54.68    44   14.6/5.8/8.8   4.54  49.82   54.71  0.05    6.85   54.52   54.74   57.98   50.31
    1   NOV   21.60    79   8.6/7.5/16.5   5.59  68.13   21.61  0.07    0.07   20.66   20.23   21.31   19.87
    1  ROKU  158.31    77    9.8/2.9/3.1   5.36  55.65  158.51  0.13    0.13  152.73  148.98  156.55  145.65
    1   OKE   95.32    35   9.8/5.6/12.9   6.16  67.98   95.47  0.16    0.78   91.99   91.01   94.47   87.69
    1   KEX  141.13    61  5.3/12.0/14.9   7.54  50.49  141.43  0.21   10.50  136.54  137.12  148.95  129.84
    1   EME  862.54    53 10.4/11.8/14.5   6.44  48.82  864.83  0.27    9.39  824.17  806.52  842.56  793.54
    1  WELL  235.30    58   4.5/4.5/11.8   5.09  47.78  236.43  0.48    7.80  234.57  235.15  251.76  216.48
    1   BMY   64.63    44    7.6/3.6/7.5   3.21  59.08   65.02  0.60    5.10   64.15   63.19   67.16   59.46
    1  ILMN  193.13    83   12.2/9.0/9.8   3.77  51.64  194.50  0.71    6.70  193.34  192.52  203.80  177.68
    1   JNJ  262.37    62    5.8/8.9/8.9   3.53  67.53  264.28  0.73    4.56  260.26  258.51  271.56  241.38
