======================================================================
  VCP 扫描器 v3 | 2026-08-11 22:14
  美股池: SP 900 (标普500+400)
  模式: 🔍 标准（趋势模板 + 多段评分）
======================================================================
  🗄️  检测到本地价缓存，跳过联网检测，直接离线扫描。

======================================================================
  【🇺🇸 美股】扫描开始
======================================================================
    读取 S&P 500...
      ✅ S&P 500: 已加载
    读取 S&P 400...
      ✅ S&P 400: 已加载
  ✅ SP 900 共 903 只（去重后）
  前10: MMM, AOS, ABT, ABBV, ACN, ADBE, AMD, AES, AFL, A

📊 扫描 903 只标的...

  📊 获取 SPY 基准...
     SPY 6月涨幅: 19.9%
  💾 检测到本地价缓存，直接离线取数（绕开 Yahoo 匿名限流）

======================================================================

🎯 🇺🇸 美股 发现 157 只 VCP 形态标的：

 VCP分   代码    当前价格  RS评级            收缩%  5日振幅%  缩量比例%   突破挂单价  距突破%  距52周高%   10EMA   21EMA    吊灯止损    硬止损价
    2   DE  617.95    27    7.9/9.8/8.4   4.11  36.27  627.88  1.61    8.34  612.88  609.30  636.31  568.51
    2  WSM  250.59    26  12.3/12.5/7.7   3.94  49.06  254.86  1.70    1.68  244.27  237.35  250.24  230.54
    2  PSA  325.10    18    6.5/8.3/3.3   3.38  41.20  330.77  1.74    3.11  325.33  323.51  332.37  299.09
    2  TEX   67.73    52 18.3/15.9/15.5   5.91  43.08   68.94  1.79    9.32   66.32   66.21   70.24   62.31
    2 AMGN  414.30    66    6.3/6.8/5.7   7.87  66.70  421.79  1.81    1.78  400.75  388.27  414.08  381.16
    2 ARWR   89.24    98  8.4/20.4/14.5   6.78  45.68   90.97  1.94    6.55   86.91   84.71   92.58   82.10
    2   CL   92.31     7    6.7/7.0/6.6   3.20  42.80   94.15  1.99    7.07   92.48   92.19   95.16   84.93
    2  TOL  152.91    23   5.6/12.7/7.8   4.39  57.63  155.97  2.00    9.18  151.87  151.41  156.12  140.68
    2  CFG   72.99    72    5.9/6.8/6.2   4.11  59.24   74.54  2.12    2.29   72.62   72.01   74.11   67.15
    2  BAX   27.61    17   9.0/10.1/9.7   6.21  68.16   28.21  2.17    7.97   26.79   25.34   29.00   25.40
    2 CBSH   59.02     2    3.8/4.9/4.2   3.39  57.67   60.33  2.22    3.12   59.19   58.90   60.56   54.30
    2 OKTA  150.33    81  8.6/24.8/17.8   9.77  65.40  153.68  2.23    4.25  146.03  142.93  153.82  138.30
    2 SEIC  104.63    22    4.4/7.7/6.5   3.24  70.33  107.00  2.27    2.21  103.73  101.39  105.61   96.26
    2 FFIN   34.80     1    5.2/7.1/4.4   4.56  53.04   35.76  2.76    8.71   34.87   34.83   36.23   32.02
    2   CB  347.07    38    7.6/8.6/6.5   3.29  60.42  356.85  2.82    5.15  350.65  350.20  362.29  319.30
    2  ADM   80.46    57  7.5/16.1/14.3   9.46  65.98   82.94  3.08    9.04   79.74   80.40   87.02   74.02
    2  NSC  334.60    24    5.9/8.3/3.8   3.91  50.86  344.99  3.11    6.69  336.91  334.76  354.60  307.83
    2  URI 1143.59    31  5.5/13.0/10.6   3.95  41.92 1179.18  3.11    3.02 1131.74 1111.81 1158.23 1052.10
    2  CNO   54.63    64    3.9/4.7/4.5   3.31  51.51   56.42  3.28    5.14   54.76   54.01   56.91   50.26
    2 KVUE   19.05     0    7.4/7.7/6.8   4.43  54.06   19.70  3.41   13.23   19.23   19.19   19.88   17.53
    2  IVZ   31.36    70  6.9/14.2/10.2   4.33  48.65   32.55  3.79    3.66   31.07   30.31   32.02   28.85
    2  RNR  316.52    48   8.9/10.1/9.6   3.94  41.25  328.56  3.80    5.79  321.07  320.48  331.65  291.20
    2 AMZN  272.27    29  8.4/17.9/12.4   4.45  55.42  282.79  3.86    5.20  267.16  258.67  280.26  250.49
    2 AVGO  416.08    51 25.2/14.0/12.2   5.35  47.21  432.73  4.00   15.94  410.05  400.80  424.22  382.79
    2   BC   81.41    54   8.7/15.3/7.9   6.06  69.26   84.68  4.02    9.80   81.13   80.86   83.69   74.90
    2 PNFP  105.70    16    5.6/9.1/6.2   6.26  44.34  110.00  4.07    4.20  105.27  103.80  108.52   97.24
    2  PRI  312.79    21   7.3/10.7/4.0   4.82  57.79  327.28  4.63    4.43  317.46  313.69  324.48  287.77
    2 LFUS  453.87    84 14.1/20.7/10.8   6.51  58.65  474.97  4.65    9.33  447.30  438.22  464.10  417.56
    2  AFL  121.07    19    6.4/7.7/3.7   5.01  52.90  126.99  4.89    7.03  124.42  124.21  129.12  111.38
    2  IFF   85.00    47  7.9/11.2/10.0   6.64  60.61   89.32  5.08    4.84   83.11   81.01   87.36   78.20
    2  WCC  366.17    83  11.8/19.2/8.7   6.32  43.40  385.37  5.24    4.98  359.05  349.98  376.64  336.88
    2  CNC   64.88    95   6.6/10.0/8.9   8.18  34.85   68.38  5.39    6.46   64.89   64.74   67.92   59.69
    2  FAF   71.69    11    4.5/7.3/4.6   6.82  38.96   76.46  6.65   10.24   73.91   73.35   78.59   65.95
    2  FHI   63.00    25    6.7/9.5/6.3   7.74  37.67   67.20  6.67    6.25   62.40   61.04   66.04   57.96
    2  UAL  126.31    38  13.7/19.6/8.7   9.49  56.62  135.37  7.17    8.98  126.31  124.68  132.67  116.21
    1  SSD  199.89     4   6.0/6.3/12.1   3.74  39.60  199.99  0.05    6.37  195.12  193.77  206.31  183.90
    1   SW   49.62    14 16.8/11.7/14.1   6.51  67.70   49.69  0.14    5.75   47.89   46.95   50.90   45.65
    1  DRI  218.90     4   6.4/8.9/12.9   6.77  73.99  219.43  0.24    0.79  210.98  207.24  216.20  201.39
    1  EMR  164.38    31  14.3/6.3/12.2   6.03  64.40  164.87  0.30    0.47  156.53  151.47  161.31  151.23
    1  OKE   91.52    30   9.8/5.6/12.9   7.72  71.08   91.86  0.37    4.74   89.37   89.63   94.47   84.20
    1  PKG  257.43    41   12.3/6.0/8.5   3.93  50.04  258.42  0.38    0.53  252.48  246.76  254.71  236.84
    1  BNY  160.32    74    4.3/4.5/7.4   2.51  29.94  160.94  0.39    2.11  158.16  156.51  162.20  147.49
    1 KEYS  343.70    90  18.5/9.5/11.8   4.62  40.33  345.36  0.48    8.34  332.39  328.46  339.47  316.20
    1   LH  322.42    23  11.1/8.0/10.0   4.20  57.49  323.97  0.48    0.48  313.74  303.69  316.94  296.63
    1  AME  256.30    58    9.5/4.5/7.4   3.18  50.53  257.95  0.64    0.64  249.85  245.03  254.76  235.80
    1   PR   21.46    76  12.2/7.7/10.6   9.26  71.92   21.60  0.65    5.36   20.72   20.45   21.65   19.74
    1   GM   89.35    79   13.1/4.9/6.3   4.23  39.66   89.98  0.71    2.72   87.54   85.30   89.91   82.20
    1  OMC   85.95    19 10.9/10.0/12.5   6.84  41.97   86.66  0.83    1.67   83.08   81.70   86.17   79.07
    1  STT  187.22    80    5.6/6.1/6.1   3.80  32.27  188.89  0.89    2.75  185.09  182.94  190.58  172.24
    1 RVTY  115.73    46    8.8/7.0/8.2   5.44  72.44  116.84  0.96    2.17  114.12  112.58  115.67  106.47
    1  ETN  459.29    33   9.3/8.8/14.2   4.92  74.78  463.75  0.97    0.96  436.36  423.61  451.75  422.55
    1  DGX  237.50    49   10.6/7.1/8.3   3.16  65.02  239.92  1.02    1.10  234.44  227.82  235.68  218.50
    1  SYY   84.26     2    5.3/6.3/7.2   2.78  72.65   85.16  1.07    8.26   84.07   83.53   85.88   77.52
    1  HWC   78.22    42    5.4/4.4/5.8   4.00  67.10   79.12  1.15    1.44   77.53   76.83   78.69   71.96
    1  VLY   14.77    71    7.1/4.5/7.8   4.11  53.15   14.94  1.15    2.83   14.61   14.57   15.06   13.59
    1  NVT  167.16    85 20.6/12.2/19.5   6.09  65.78  169.18  1.21    9.47  160.29  158.41  164.84  153.79
    1   TT  483.96     9   8.3/6.3/10.0   4.66  47.14  490.46  1.34    4.33  475.11  473.43  484.97  445.24
    1   GD  391.89    32    7.1/5.1/6.5   4.16  32.73  397.20  1.35    2.03  387.81  381.95  395.60  360.54
    1  LYV  183.33    17    7.8/5.6/8.7   3.53  42.35  185.86  1.38    2.48  182.07  180.89  185.36  168.66
    1 NDSN  311.36    64    6.8/6.1/8.9   2.79  68.56  315.68  1.39    1.37  305.92  300.98  311.97  286.45
    1  SWX   91.51    16    3.8/3.1/3.8   5.53  45.08   92.87  1.49    3.13   91.17   91.11   93.73   84.19
    1  FTV   61.68    41   6.8/7.4/11.0   4.05  53.33   62.62  1.53    4.46   61.15   61.10   63.76   56.75
    1 FITB   57.60    56    5.4/5.0/7.6   3.74  51.46   58.49  1.55    3.19   57.24   57.04   58.99   52.99
    1 HSIC   89.18    48    4.5/6.1/6.9   4.02  64.22   90.56  1.55    3.25   87.78   86.69   91.16   82.05
    1  SON   57.80    37    7.6/8.6/8.7   4.08  44.90   58.73  1.61    4.73   57.64   56.93   59.79   53.18
    1  JNJ  259.80    71    5.8/8.9/8.9   3.80  44.10  264.15  1.67    5.49  258.76  257.15  271.56  239.02
    1 BALL   62.90    20   9.7/6.3/10.0   3.26  44.90   63.98  1.72    7.89   63.52   63.20   66.70   57.87
    1 ROKU  150.91    84    9.8/2.9/3.1   5.03  37.88  153.54  1.74    1.71  148.66  145.85  152.00  138.84
    1  UNP  292.87    52    7.5/6.9/9.9   2.68  51.90  298.15  1.80    7.32  293.70  291.95  312.44  269.44
    1 ROST  251.81    82   9.9/6.5/15.2   2.23  62.27  256.45  1.84    2.02  251.08  244.79  252.58  231.67
    1  UNM   89.85    37    6.2/7.4/9.2   3.63  61.75   91.53  1.86    3.62   89.46   88.89   90.46   82.66
    1  LLY 1215.02    87   8.8/9.2/10.0   8.75  52.17 1238.00  1.89    2.76 1187.44 1179.16 1223.36 1117.82
    1 ZION   71.00    51    4.4/4.5/7.6   3.83  47.72   72.40  1.97    3.19   70.58   70.20   72.70   65.32
    1  WST  351.37    67   4.4/5.0/15.7   3.59  38.62  358.67  2.08    8.97  349.11  348.11  379.10  323.26
    1  MAS   76.14     5  14.9/9.3/15.2   4.44  63.48   77.85  2.25    8.97   76.06   76.42   82.20   70.05
    1   RS  423.50    69  19.6/7.7/12.4   4.53  57.15  433.02  2.25    2.20  416.56  407.81  426.96  389.62
    1  TDY  681.74    29    5.8/5.6/9.6   3.65  65.83  697.67  2.34    2.28  675.73  662.67  687.71  627.20
    1  EME  816.86    40 10.4/11.8/14.5   4.31  62.27  836.15  2.36   14.19  800.60  790.06  820.54  751.51
    1   PM  186.22    10   7.5/7.3/11.3   3.70  43.67  191.54  2.86   10.37  188.69  188.56  204.12  171.32
    1 INCY  121.07    69  12.9/7.1/12.7   7.60  50.50  124.57  2.89    8.70  120.46  118.94  130.10  111.38
    1  TRV  375.61    62    7.3/6.9/7.3   3.49  31.94  386.59  2.92    5.79  378.38  370.57  390.37  345.56
    1  DLR  190.81    15  12.7/5.7/10.8   3.34  38.70  196.51  2.99    8.33  191.22  188.72  203.33  175.55
    1   EG  365.70    12   12.3/4.8/9.2   3.31  37.47  376.63  2.99    8.82  372.87  372.89  396.52  336.44
    1  NUE  271.95    87   6.8/7.3/20.8   4.95  40.44  280.11  3.00    2.91  266.76  257.59  274.22  250.19
    1  SJM  117.34     3    9.0/8.4/9.4   3.24  43.82  120.99  3.11    8.08  118.73  117.59  125.35  107.95
    1 DLTR  128.06    14  13.0/8.0/12.3   3.94  56.20  132.10  3.15   10.07  128.52  126.57  131.39  117.82
    1  PFG  113.03    67    4.0/6.9/7.5   5.05  61.92  116.61  3.17    3.07  113.65  112.80  115.44  103.99
    1 PCAR  132.53    53   16.6/5.1/6.8   5.31  72.81  136.76  3.19    4.82  132.44  130.57  137.33  121.93
    1  AIT  352.35    43   6.7/5.9/10.3   3.19  65.42  363.59  3.19    3.09  352.72  346.52  358.84  324.16
    1  CSX   49.94    59    5.1/6.0/7.8   3.65  65.73   51.59  3.30    6.83   50.44   50.24   53.07   45.94
    1 NVDA  217.50    22 14.2/11.3/11.4   3.91  67.12  224.76  3.34    8.05  213.36  209.43  220.81  200.10
    1  FCX   68.87    78 22.5/11.0/11.1   4.83  68.72   71.22  3.41    4.72   67.12   65.18   69.49   63.36
    1    L  113.15    24    7.2/2.5/6.4   4.16  36.38  117.01  3.41    6.50  115.25  115.24  119.93  104.10
    1  GEF   87.53    40   14.3/4.7/8.2   4.97  54.92   90.57  3.47    3.36   86.74   83.21   88.16   80.53
    1 CSCO  120.43    81  5.2/10.6/11.6   8.56  70.48  124.71  3.55    7.62  119.28  117.57  122.76  110.80
    1   CR  220.56    12  10.4/6.6/11.0   5.02  56.20  228.64  3.66    4.31  219.67  218.53  227.62  202.92
    1 STLD  263.69    91 19.6/10.1/25.1   6.86  58.65  273.36  3.67    8.68  260.01  253.53  268.29  242.59
    1  CHE  537.14    26    6.4/6.8/8.7   4.06  63.78  557.00  3.70    3.57  538.72  523.65  548.40  494.17
    1  MLI   68.45    69   6.7/8.0/23.2   4.53  63.66   71.12  3.90    3.75   67.59   65.71   69.40   62.97
    1 BIIB  203.89    75   7.5/5.0/15.3   5.02  74.07  212.18  4.07    7.20  205.56  204.66  214.89  187.58
    1 IESC  780.00    94 15.2/26.7/28.2   8.92  55.97  811.85  4.08    3.92  728.97  695.69  775.63  717.60
    1  MET   96.80    34    6.1/3.7/4.0   5.70  48.18  100.93  4.27    4.09   96.77   95.18   99.84   89.06
    1  CDP   36.39    46    7.2/4.7/4.9   4.94  40.57   38.02  4.48    6.45   37.17   37.14   38.60   33.48
    1 VOYA   98.22    54    6.7/4.9/8.7   8.63  69.39  103.05  4.92    5.42   99.83   98.79  102.83   90.36
    1  THG  221.94    44    3.6/7.5/9.7   4.97  64.13  232.96  4.97    5.99  226.27  222.79  232.35  204.18
    1  DAL   90.41    74   9.6/8.9/15.7   6.84  41.29   95.01  5.09    5.51   90.04   88.81   93.38   83.18
    1  APH  167.23    70  23.8/7.4/14.2   5.66  49.05  176.33  5.44    6.32  165.34  162.05  172.16  153.85
    1   GE  368.06    47  15.7/9.3/12.1   6.58  52.09  388.84  5.65    5.34  367.28  362.67  382.90  338.62
    1 ILMN  192.84    89   12.2/9.0/9.8   9.17  42.47  203.75  5.66    6.84  194.53  192.58  203.80  177.41
    1 EXPD  177.21    68   4.2/5.7/10.4   6.23  45.23  187.74  5.94    5.61  176.70  174.77  185.08  163.03
    1 FTNT  161.89    91 11.3/-1.8/15.6   8.73  62.03  172.09  6.30    5.93  160.99  158.95  168.87  148.94
    1  HXL  100.51    77  14.9/7.0/11.4   7.47  36.32  107.59  7.04   10.05  103.05  103.19  110.12   92.47
    1  BEN   33.36    42    5.9/0.6/9.1   8.92  47.91   36.28  8.75    8.05   33.81   33.59   35.76   30.69

  💡 VCP分: 3=3段递减 ✓  2=2段递减  1=仅窄幅整理
======================================================================

======================================================================
  📊 今日 VCP 扫描汇总
  🇺🇸 美股  🎯: 157 只
======================================================================
